"seller_id","revenue_volatility"
"e3b4998c7a498169dc7bce44e6bb6277","3841.735671542226"
"612a743d294c27884fb7b80d2b19ba35","1715.307649762378"
"bede56095ba33c42038fb85f707b8a42","1608.031531096328"
"59417c56835dd8e2e72f91f809cd4092","1321.590096192061"
"c510bc1718f0f2961eaa42a23330681a","1296.116870113799"
"512d298ac2a96d1931b6bd30aa21f61d","1235.913111596099"
"c4f7fee5b0db50e87766f5a4d1b1b758","1151.501026983669"
"403aa86912527d730337ffcb0fb096ab","1123.183988813619"
"dd58ee93286b0821565574c570e9e1dc","1096.015510839149"
"6750d71153f00fc58829af2a8ef1bcf1","1086.419194724885"
"f25e239052084705e17a982bc600ab2a","1017.380810849956"
"039e6ad9dae79614493083e241147386","968.904020014367"
"2528744c5ef5d955adc318720a94d2e7","961.119139337054"
"821fb029fc6e495ca4f08a35d51e53a5","946.262304353369"
"c72de06d72748d1a0dfb2125be43ba63","925.713404547707"
"5d9dc90a686a8fddacffab6bab5653a3","877.282196761421"
"abe021b01ba992245271b9aa422032df","876.812408671319"
"d23019c84ffae2d5ef2270367b8605fc","859.686930430826"
"b1b3948701c5c72445495bd161b83a4c","810.096368477999"
"6bd69102ab48df500790a8cecfc285c2","774.745119377980"
"784ba75dd9d20200c4caed3d7a77141a","770.789906341028"
"06532f10282704ef4c69168b914b77be","762.047248460429"
"f9244d45189d3a3605499abddeade7d5","761.620247252996"
"1d0997ff06b524ce9289ffd75114ecd3","726.291952316698"
"ed4acab38528488b65a9a9c603ff024a","711.463460844158"
"76833248bbc0e65a0293ec62023e4396","707.106781186548"
"f021c962aaba8ef6eb527a9c2c8394d1","696.491349551450"
"87e24fc7052259b1f7f607d61c10d8be","695.301091263706"
"c500367424994318b9e779ff1ae9a330","693.531868409809"
"455c5640e8c5bd1b2ee85c0158f85727","686.947364249984"
"6c12e40690c335dbc2f68a4134d30dc1","676.571269234026"
"e882b2a25a10b9c057cc49695f222c19","669.945635941364"
"77dcbb67ccb3659bd58eaf5661560a30","661.851947190608"
"b8630e1121437d41cb08e3c749c2c2e2","659.171426638754"
"2bf6a2c1e71bbd29a4ad64e6d3c3629f","657.828867996755"
"734def04b237117a09321dd6d8f3f2a2","650.220040640090"
"a4b6b9b992b46e9ef863637af96e04bc","643.937974796187"
"180c3376aff0e43dd5788709df48a843","641.177744467164"
"9b1585752613ec342d03bbab9997ec48","629.677425380117"
"4d0041cdbe51b4617d95c70b19decc74","609.207213164313"
"bb5d956dece964a06c12bceb66b923ae","608.366390261658"
"244b04680fdbded0acf5aebd9c92b44a","600.694043031337"
"b839e41795b7f3ad94cc2014a52f6796","598.056080478098"
"5882820ef11c4c068eea0677a7a879b4","593.905964593908"
"ba90964cff9b9e0e6f32b23b82465f7b","587.706031576944"
"3bfba5a77604f6dfae7e6dd7aaf65821","571.736305039307"
"9803a40e82e45418ab7fb84091af5231","568.246323517519"
"c3acdfac4e3e97ff87529454fbc03642","559.220236335625"
"eeb6de78f79159600292e314a77cbd18","554.813919341852"
"c4d51195486dc781531876a7d00453d8","544.388460706815"
"67883baaae6134ee81b271a542613728","541.736661010717"
"fbc14c0cf93505ef89f64665ffa4a7b5","532.516445479276"
"3cfa1358a6caa965278721344c8d76f2","531.798812315334"
"0aa124728afc1131dff5655f4c6f487b","528.265334088846"
"f2336e113377dd21c744d9c4fc8293a9","525.447349090912"
"e7df4cd29ab5abab70fb0783ddb53987","523.899300656396"
"6061155addc1e54b4cfb51c1c2a32ad8","523.393184505799"
"1c5e4e49b9079480255b49d50aac1aa9","518.757261091935"
"7b0df942f46435babab05d49b744b2c4","518.270298138102"
"d9e8c084b68fe958861d8f2c21202e6b","511.863055786201"
"610f72e407cdd7caaa2f8167b0163fd8","510.103380095211"
"3364a91ec4d56c98e44174de954b94f6","495.445927086566"
"9b522ba7eae9e1d04082f267144583cc","493.815433807679"
